"","age","year","meansize"
"326","2.1",1987,366.895959235846
"327","2.1",1988,383.270991346186
"328","2.1",1989,366.257019308126
"329","2.1",1990,373.648506876669
"330","2.1",1991,363.008273930754
"331","2.1",1992,369.277622751291
"332","2.1",1993,360.187503709713
"333","2.1",1994,376.35761589404
"334","2.1",1995,356.146486308149
"335","2.1",1996,345.090700344432
"336","2.1",1997,349.580210896309
"337","2.1",1998,353.413047896484
"338","2.1",1999,391.191552497991
"339","2.1",2000,374.547013578212
"340","2.1",2001,381.714566035288
"341","2.1",2002,369.980997908575
"342","2.1",2003,370.913431167695
"343","2.1",2004,353.213005787064
"344","2.1",2005,349.104712786046
"345","2.1",2006,363.039903578713
"346","2.1",2007,374.224991533487
"347","2.1",2008,347.783921071929
"348","2.1",2009,343.537711011306
"349","2.1",2010,360.408097219795
"350","2.1",2011,378.61233725967
"351","2.1",2012,383.659473263385
"352","2.1",2013,395.575139084389
"353","2.1",2014,366.840439587578
"354","2.2",1960,493.874729411229
"355","2.2",1961,515.39190083432
"356","2.2",1962,529.802757534117
"357","2.2",1963,521.502307136992
"358","2.2",1964,522.367746507479
"359","2.2",1965,504.789342019067
"360","2.2",1966,525.809091420539
"361","2.2",1967,520.738029460305
"362","2.2",1968,526.686828854578
"363","2.2",1969,519.462325443067
"364","2.2",1970,509.261658596706
"365","2.2",1971,509.079320235502
"366","2.2",1972,536.89575980029
"367","2.2",1973,524.176298539071
"368","2.2",1974,533.321490426117
"369","2.2",1975,511.336902796763
"370","2.2",1976,533.898242363043
"371","2.2",1977,530.997241920868
"372","2.2",1978,534.36853423341
"373","2.2",1979,512.080230931219
"374","2.2",1980,521.6626260161
"375","2.2",1981,532.73098130178
"376","2.2",1982,523.631094411036
"377","2.2",1983,528.740184372267
"378","2.2",1984,516.089684568046
"379","2.2",1985,501.297451153071
"380","2.2",1986,503.419368765697
"381","2.2",1987,506.938517116574
"382","2.2",1988,527.077783516405
"383","2.2",1989,504.338007771996
"384","2.2",1990,513.585363521973
"385","2.2",1991,524.359471688322
"386","2.2",1992,515.315782168751
"387","2.2",1993,510.668135928426
"388","2.2",1994,518.660290254962
"389","2.2",1995,517.205460768963
"390","2.2",1996,518.650539345173
"391","2.2",1997,516.6742122246
"392","2.2",1998,522.075448397587
"393","2.2",1999,519.501660486426
"394","2.2",2000,520.544863049424
"395","2.2",2001,505.217208877385
"396","2.2",2002,513.909706296045
"397","2.2",2003,506.275250359159
"398","2.2",2004,512.016249990236
"399","2.2",2005,501.940082342715
"400","2.2",2006,510.918583871606
"401","2.2",2007,506.903985967955
"402","2.2",2008,511.419108000773
"403","2.2",2009,508.558683614424
"404","2.2",2010,500.214506264428
"405","2.2",2011,507.841174600085
"406","2.2",2012,521.104247057135
"407","2.2",2013,496.168347229852
"408","2.2",2014,487.385415519713
"409","2.3",1960,570.843474987144
"410","2.3",1961,584.235812703461
"411","2.3",1962,587.869509223921
"412","2.3",1963,585.418515504879
"413","2.3",1964,564.893957393103
"414","2.3",1965,573.029675681225
"415","2.3",1966,573.043077987004
"416","2.3",1967,591.484047024089
"417","2.3",1968,579.916717242385
"418","2.3",1969,571.584836813046
"419","2.3",1970,570.789978171881
"420","2.3",1971,593.526199568992
"421","2.3",1972,592.249908514947
"422","2.3",1973,577.417571319266
"423","2.3",1974,568.124201226968
"424","2.3",1975,578.863623556509
"425","2.3",1976,583.611222601784
"426","2.3",1977,582.387019207695
"427","2.3",1978,578.105377877618
"428","2.3",1979,579.336061812897
"429","2.3",1980,575.921607020356
"430","2.3",1981,584.396477687346
"431","2.3",1982,587.477875799382
"432","2.3",1983,588.221761124629
"433","2.3",1984,571.880470488276
"434","2.3",1985,563.948980101979
"435","2.3",1986,560.293951063947
"436","2.3",1987,573.694614195765
"437","2.3",1988,565.797559103064
"438","2.3",1989,572.98402260574
"439","2.3",1990,576.636827655764
"440","2.3",1991,582.310018329263
"441","2.3",1992,567.758933458086
"442","2.3",1993,575.484582049244
"443","2.3",1994,568.933639879589
"444","2.3",1995,581.814141109195
"445","2.3",1996,584.749673245729
"446","2.3",1997,585.67418114549
"447","2.3",1998,580.410856683917
"448","2.3",1999,573.674940452653
"449","2.3",2000,565.905563018113
"450","2.3",2001,569.756003977644
"451","2.3",2002,558.212259144027
"452","2.3",2003,564.520400714938
"453","2.3",2004,558.640529383258
"454","2.3",2005,566.423869688545
"455","2.3",2006,560.586922749908
"456","2.3",2007,563.285539155619
"457","2.3",2008,563.781623862878
"458","2.3",2009,551.504706932765
"459","2.3",2010,552.871867244247
"460","2.3",2011,563.491511943851
"461","2.3",2012,557.969537754919
"462","2.3",2013,556.46656102229
"463","2.3",2014,538.974742403369
